Nome: PINDAMONHANGABA
Codigo Estacao: 83707
Latitude: -22.92
Longitude: -45.5
Altitude: 560
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1991-04-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1988-04-12;null;null;null;null;null;null;null;null;
1988-04-13;null;null;null;null;null;null;null;null;
1988-04-14;null;null;null;null;null;null;null;null;
1988-04-15;null;null;null;null;null;null;null;null;
1988-04-16;null;null;null;null;null;null;null;null;
1988-04-17;null;null;null;null;null;null;null;null;
1988-04-18;null;null;null;null;null;null;null;null;
1988-04-19;null;null;null;null;null;null;null;null;
1988-04-20;null;null;null;null;null;null;null;null;
1988-04-21;null;null;null;null;null;null;null;null;
1988-04-22;null;null;null;null;null;null;null;null;
1988-04-23;null;null;null;null;null;null;null;null;
1988-04-24;null;null;null;null;null;null;null;null;
1988-04-25;null;null;null;null;null;null;null;null;
1988-04-26;null;null;null;null;null;null;null;null;
1988-04-27;null;null;null;null;null;null;null;null;
1988-04-28;null;null;null;null;null;null;null;null;
1988-04-29;null;null;null;null;null;null;null;null;
1988-04-30;null;null;null;null;null;null;null;null;
1988-05-01;null;null;null;null;null;null;null;null;
1988-05-02;null;null;null;null;null;null;null;null;
1988-05-03;null;null;null;null;null;null;null;null;
1988-05-04;null;null;null;null;null;null;null;null;
1988-05-05;null;null;null;null;null;null;null;null;
1988-05-06;null;null;null;null;null;null;null;null;
1988-05-07;null;null;null;null;null;null;null;null;
1988-05-08;null;null;null;null;null;null;null;null;
1988-05-09;null;null;null;null;null;null;null;null;
1988-05-10;null;null;null;null;null;null;null;null;
1988-05-11;null;null;null;null;null;null;null;null;
1988-05-12;null;null;null;null;null;null;null;null;
1988-05-13;null;null;null;null;null;null;null;null;
1988-05-14;null;null;null;null;null;null;null;null;
1988-05-15;null;null;null;null;null;null;null;null;
1988-05-16;null;null;null;null;null;null;null;null;
1988-05-17;null;null;null;null;null;null;null;null;
1988-05-18;null;null;null;null;null;null;null;null;
1988-05-19;null;null;null;null;null;null;null;null;
1988-05-20;null;null;null;null;null;null;null;null;
1988-05-21;null;null;null;null;null;null;null;null;
1988-05-22;null;null;null;null;null;null;null;null;
1988-05-23;null;null;null;null;null;null;null;null;
1988-05-24;null;null;null;null;null;null;null;null;
1988-05-25;null;null;null;null;null;null;null;null;
1988-05-26;null;null;null;null;null;null;null;null;
1988-05-27;null;null;null;null;null;null;null;null;
1988-05-28;null;null;null;null;null;null;null;null;
1988-05-29;null;null;null;null;null;null;null;null;
1988-05-30;null;null;null;null;null;null;null;null;
1988-05-31;null;null;null;null;null;null;null;null;
1988-06-01;null;null;null;null;null;null;null;null;
1988-06-02;null;null;null;null;null;null;null;null;
1988-06-03;null;null;null;null;null;null;null;null;
1988-06-04;null;null;null;null;null;null;null;null;
1988-06-05;null;null;null;null;null;null;null;null;
1988-06-06;null;null;null;null;null;null;null;null;
1988-06-07;null;null;null;null;null;null;null;null;
1988-06-08;null;null;null;null;null;null;null;null;
1988-06-09;null;null;null;null;null;null;null;null;
1988-06-10;null;null;null;null;null;null;null;null;
1988-06-11;null;null;null;null;null;null;null;null;
1988-06-12;null;null;null;null;null;null;null;null;
1988-06-13;null;null;null;null;null;null;null;null;
1988-06-14;null;null;null;null;null;null;null;null;
1988-06-15;null;null;null;null;null;null;null;null;
1988-06-16;null;null;null;null;null;null;null;null;
1988-06-17;null;null;null;null;null;null;null;null;
1988-06-18;null;null;null;null;null;null;null;null;
1988-06-19;null;null;null;null;null;null;null;null;
1988-06-20;null;null;null;null;null;null;null;null;
1988-06-21;null;null;null;null;null;null;null;null;
1988-06-22;null;null;null;null;null;null;null;null;
1988-06-23;null;null;null;null;null;null;null;null;
1988-06-24;null;null;null;null;null;null;null;null;
1988-06-25;null;null;null;null;null;null;null;null;
1988-06-26;null;null;null;null;null;null;null;null;
1988-06-27;null;null;null;null;null;null;null;null;
1988-06-28;null;null;null;null;null;null;null;null;
1988-06-29;null;null;null;null;null;null;null;null;
1988-06-30;null;null;null;null;null;null;null;null;
1988-07-01;null;null;null;null;null;null;null;null;
1988-07-02;null;null;null;null;null;null;null;null;
1988-07-03;null;null;null;null;null;null;null;null;
1988-07-04;null;null;null;null;null;null;null;null;
1988-07-05;null;null;null;null;null;null;null;null;
1988-07-06;null;null;null;null;null;null;null;null;
1988-07-07;null;null;null;null;null;null;null;null;
1988-07-08;null;null;null;null;null;null;null;null;
1988-07-09;null;null;null;null;null;null;null;null;
1988-07-10;null;null;null;null;null;null;null;null;
1988-07-11;null;null;null;null;null;null;null;null;
1988-07-12;null;null;null;null;null;null;null;null;
1988-07-13;null;null;null;null;null;null;null;null;
1988-07-14;null;null;null;null;null;null;null;null;
1988-07-15;null;null;null;null;null;null;null;null;
1988-07-16;null;null;null;null;null;null;null;null;
1988-07-17;null;null;null;null;null;null;null;null;
1988-07-18;null;null;null;null;null;null;null;null;
1988-07-19;null;null;null;null;null;null;null;null;
1988-07-20;null;null;null;null;null;null;null;null;
1988-07-21;null;null;null;null;null;null;null;null;
1988-07-22;null;null;null;null;null;null;null;null;
1988-07-23;null;null;null;null;null;null;null;null;
1988-07-24;null;null;null;null;null;null;null;null;
1988-07-25;null;null;null;null;null;null;null;null;
1988-07-26;null;null;null;null;null;null;null;null;
1988-07-27;null;null;null;null;null;null;null;null;
1988-07-28;null;null;null;null;null;null;null;null;
1988-07-29;null;null;null;null;null;null;null;null;
1988-07-30;null;null;null;null;null;null;null;null;
1988-07-31;null;null;null;null;null;null;null;null;
1988-08-01;null;null;null;null;null;null;null;null;
1988-08-02;null;null;null;null;null;null;null;null;
1988-08-03;null;null;null;null;null;null;null;null;
1988-08-04;null;null;null;null;null;null;null;null;
1988-08-05;null;null;null;null;null;null;null;null;
1988-08-06;null;null;null;null;null;null;null;null;
1988-08-07;null;null;null;null;null;null;null;null;
1988-08-08;null;null;null;null;null;null;null;null;
1988-08-09;null;null;null;null;null;null;null;null;
1988-08-10;null;null;null;null;null;null;null;null;
1988-08-11;null;null;null;null;null;null;null;null;
1988-08-12;null;null;null;null;null;null;null;null;
1988-08-13;null;null;null;null;null;null;null;null;
1988-08-14;null;null;null;null;null;null;null;null;
1988-08-15;null;null;null;null;null;null;null;null;
1988-08-16;null;null;null;null;null;null;null;null;
1988-08-17;null;null;null;null;null;null;null;null;
1988-08-18;null;null;null;null;null;null;null;null;
1988-08-19;null;null;null;null;null;null;null;null;
1988-08-20;null;null;null;null;null;null;null;null;
1988-08-21;null;null;null;null;null;null;null;null;
1988-08-22;null;null;null;null;null;null;null;null;
1988-08-23;null;null;null;null;null;null;null;null;
1988-08-24;null;null;null;null;null;null;null;null;
1988-08-25;null;null;null;null;null;null;null;null;
1988-08-26;null;null;null;null;null;null;null;null;
1988-08-27;null;null;null;null;null;null;null;null;
1988-08-28;null;null;null;null;null;null;null;null;
1988-08-29;null;null;null;null;null;null;null;null;
1988-08-30;null;null;null;null;null;null;null;null;
1988-08-31;null;null;null;null;null;null;null;null;
1988-09-01;null;null;null;null;null;null;null;null;
1988-09-02;null;null;null;null;null;null;null;null;
1988-09-03;null;null;null;null;null;null;null;null;
1988-09-04;null;null;null;null;null;null;null;null;
1988-09-05;null;null;null;null;null;null;null;null;
1988-09-06;null;null;null;null;null;null;null;null;
1988-09-07;null;null;null;null;null;null;null;null;
1988-09-08;null;null;null;null;null;null;null;null;
1988-09-09;null;null;null;null;null;null;null;null;
1988-09-10;null;null;null;null;null;null;null;null;
1988-09-11;null;null;null;null;null;null;null;null;
1988-09-12;null;null;null;null;null;null;null;null;
1988-09-13;null;null;null;null;null;null;null;null;
1988-09-14;null;null;null;null;null;null;null;null;
1988-09-15;null;null;null;null;null;null;null;null;
1988-09-16;null;null;null;null;null;null;null;null;
1988-09-17;null;null;null;null;null;null;null;null;
1988-09-18;null;null;null;null;null;null;null;null;
1988-09-19;null;null;null;null;null;null;null;null;
1988-09-20;null;null;null;null;null;null;null;null;
1988-09-21;null;null;null;null;null;null;null;null;
1988-09-22;null;null;null;null;null;null;null;null;
1988-09-23;null;null;null;null;null;null;null;null;
1988-09-24;null;null;null;null;null;null;null;null;
1988-09-25;null;null;null;null;null;null;null;null;
1988-09-26;null;null;null;null;null;null;null;null;
1988-09-27;null;null;null;null;null;null;null;null;
1988-09-28;null;null;null;null;null;null;null;null;
1988-09-29;null;null;null;null;null;null;null;null;
1988-09-30;null;null;null;null;null;null;null;null;
1988-10-01;null;null;null;null;null;null;null;null;
1988-10-02;null;null;null;null;null;null;null;null;
1988-10-03;null;null;null;null;null;null;null;null;
1988-10-04;null;null;null;null;null;null;null;null;
1988-10-05;null;null;null;null;null;null;null;null;
1988-10-06;null;null;null;null;null;null;null;null;
1988-10-07;null;null;null;null;null;null;null;null;
1988-10-08;null;null;null;null;null;null;null;null;
1988-10-09;null;null;null;null;null;null;null;null;
1988-10-10;null;null;null;null;null;null;null;null;
1988-10-11;null;null;null;null;null;null;null;null;
1988-10-12;null;null;null;null;null;null;null;null;
1988-10-13;null;null;null;null;null;null;null;null;
1988-10-14;null;null;null;null;null;null;null;null;
1988-10-15;null;null;null;null;null;null;null;null;
1988-10-16;null;null;null;null;null;null;null;null;
1988-10-17;null;null;null;null;null;null;null;null;
1988-10-18;null;null;null;null;null;null;null;null;
1988-10-19;null;null;null;null;null;null;null;null;
1988-10-20;null;null;null;null;null;null;null;null;
1988-10-21;null;null;null;null;null;null;null;null;
1988-10-22;null;null;null;null;null;null;null;null;
1988-10-23;null;null;null;null;null;null;null;null;
1988-10-24;null;null;null;null;null;null;null;null;
1988-10-25;null;null;null;null;null;null;null;null;
1988-10-26;null;null;null;null;null;null;null;null;
1988-10-27;null;null;null;null;null;null;null;null;
1988-10-28;null;null;null;null;null;null;null;null;
1988-10-29;null;null;null;null;null;null;null;null;
1988-10-30;null;null;null;null;null;null;null;null;
1988-10-31;null;null;null;null;null;null;null;null;
1988-11-01;null;null;null;null;null;null;null;null;
1988-11-02;null;null;null;null;null;null;null;null;
1988-11-03;null;null;null;null;null;null;null;null;
1988-11-04;null;null;null;null;null;null;null;null;
1988-11-05;null;null;null;null;null;null;null;null;
1988-11-06;null;null;null;null;null;null;null;null;
1988-11-07;null;null;null;null;null;null;null;null;
1988-11-08;null;null;null;null;null;null;null;null;
1988-11-09;null;null;null;null;null;null;null;null;
1988-11-10;null;null;null;null;null;null;null;null;
1988-11-11;null;null;null;null;null;null;null;null;
1988-11-12;null;null;null;null;null;null;null;null;
1988-11-13;null;null;null;null;null;null;null;null;
1988-11-14;null;null;null;null;null;null;null;null;
1988-11-15;null;null;null;null;null;null;null;null;
1988-11-16;null;null;null;null;null;null;null;null;
1988-11-17;null;null;null;null;null;null;null;null;
1988-11-18;null;null;null;null;null;null;null;null;
1988-11-19;null;null;null;null;null;null;null;null;
1988-11-20;null;null;null;null;null;null;null;null;
1988-11-21;null;null;null;null;null;null;null;null;
1988-11-22;null;null;null;null;null;null;null;null;
1988-11-23;null;null;null;null;null;null;null;null;
1988-11-24;null;null;null;null;null;null;null;null;
1988-11-25;null;null;null;null;null;null;null;null;
1988-11-26;null;null;null;null;null;null;null;null;
1988-11-27;null;null;null;null;null;null;null;null;
1988-11-28;null;null;null;null;null;null;null;null;
1988-11-29;null;null;null;null;null;null;null;null;
1988-11-30;null;null;null;null;null;null;null;null;
1988-12-01;null;null;null;null;null;null;null;null;
1988-12-02;null;null;null;null;null;null;null;null;
1988-12-03;null;null;null;null;null;null;null;null;
1988-12-04;null;null;null;null;null;null;null;null;
1988-12-05;null;null;null;null;null;null;null;null;
1988-12-06;null;null;null;null;null;null;null;null;
1988-12-07;null;null;null;null;null;null;null;null;
1988-12-08;null;null;null;null;null;null;null;null;
1988-12-09;null;null;null;null;null;null;null;null;
1988-12-10;null;null;null;null;null;null;null;null;
1988-12-11;null;null;null;null;null;null;null;null;
1988-12-12;null;null;null;null;null;null;null;null;
1988-12-13;null;null;null;null;null;null;null;null;
1988-12-14;null;null;null;null;null;null;null;null;
1988-12-15;null;null;null;null;null;null;null;null;
1988-12-16;null;null;null;null;null;null;null;null;
1988-12-17;null;null;null;null;null;null;null;null;
1988-12-18;null;null;null;null;null;null;null;null;
1988-12-19;null;null;null;null;null;null;null;null;
1988-12-20;null;null;null;null;null;null;null;null;
1988-12-21;null;null;null;null;null;null;null;null;
1988-12-22;null;null;null;null;null;null;null;null;
1988-12-23;null;null;null;null;null;null;null;null;
1988-12-24;null;null;null;null;null;null;null;null;
1988-12-25;null;null;null;null;null;null;null;null;
1988-12-26;null;null;null;null;null;null;null;null;
1988-12-27;null;null;null;null;null;null;null;null;
1988-12-28;null;null;null;null;null;null;null;null;
1988-12-29;null;null;null;null;null;null;null;null;
1988-12-30;null;null;null;null;null;null;null;null;
1988-12-31;null;null;null;null;null;null;null;null;
1989-01-01;null;null;null;null;null;null;null;null;
1989-01-02;null;null;null;null;null;null;null;null;
1989-01-03;null;null;null;null;null;null;null;null;
1989-01-04;null;null;null;null;null;null;null;null;
1989-01-05;null;null;null;null;null;null;null;null;
1989-01-06;null;null;null;null;null;null;null;null;
1989-01-07;null;null;null;null;null;null;null;null;
1989-01-08;null;null;null;null;null;null;null;null;
1989-01-09;null;null;null;null;null;null;null;null;
1989-01-10;null;null;null;null;null;null;null;null;
1989-01-11;null;null;null;null;null;null;null;null;
1989-01-12;null;null;null;null;null;null;null;null;
1989-01-13;null;null;null;null;null;null;null;null;
1989-01-14;null;null;null;null;null;null;null;null;
1989-01-15;null;null;null;null;null;null;null;null;
1989-01-16;null;null;null;null;null;null;null;null;
1989-01-17;null;null;null;null;null;null;null;null;
1989-01-18;null;null;null;null;null;null;null;null;
1989-01-19;null;null;null;null;null;null;null;null;
1989-01-20;null;null;null;null;null;null;null;null;
1989-01-21;null;null;null;null;null;null;null;null;
1989-01-22;null;null;null;null;null;null;null;null;
1989-01-23;null;null;null;null;null;null;null;null;
1989-01-24;null;null;null;null;null;null;null;null;
1989-01-25;null;null;null;null;null;null;null;null;
1989-01-26;null;null;null;null;null;null;null;null;
1989-01-27;null;null;null;null;null;null;null;null;
1989-01-28;null;null;null;null;null;null;null;null;
1989-01-29;null;null;null;null;null;null;null;null;
1989-01-30;null;null;null;null;null;null;null;null;
1989-01-31;null;null;null;null;null;null;null;null;
1989-02-01;null;null;null;null;null;null;null;null;
1989-02-02;null;null;null;null;null;null;null;null;
1989-02-03;null;null;null;null;null;null;null;null;
1989-02-04;null;null;null;null;null;null;null;null;
1989-02-05;null;null;null;null;null;null;null;null;
1989-02-06;null;null;null;null;null;null;null;null;
1989-02-07;null;null;null;null;null;null;null;null;
1989-02-08;null;null;null;null;null;null;null;null;
1989-02-09;null;null;null;null;null;null;null;null;
1989-02-10;null;null;null;null;null;null;null;null;
1989-02-11;null;null;null;null;null;null;null;null;
1989-02-12;null;null;null;null;null;null;null;null;
1989-02-13;null;null;null;null;null;null;null;null;
1989-02-14;null;null;null;null;null;null;null;null;
1989-02-15;null;null;null;null;null;null;null;null;
1989-02-16;null;null;null;null;null;null;null;null;
1989-02-17;null;null;null;null;null;null;null;null;
1989-02-18;null;null;null;null;null;null;null;null;
1989-02-19;null;null;null;null;null;null;null;null;
1989-02-20;null;null;null;null;null;null;null;null;
1989-02-21;null;null;null;null;null;null;null;null;
1989-02-22;null;null;null;null;null;null;null;null;
1989-02-23;null;null;null;null;null;null;null;null;
1989-02-24;null;null;null;null;null;null;null;null;
1989-02-25;null;null;null;null;null;null;null;null;
1989-02-26;null;null;null;null;null;null;null;null;
1989-02-27;null;null;null;null;null;null;null;null;
1989-02-28;null;null;null;null;null;null;null;null;
1989-03-01;null;null;null;null;null;null;null;null;
1989-03-02;null;null;null;null;null;null;null;null;
1989-03-03;null;null;null;null;null;null;null;null;
1989-03-04;null;null;null;null;null;null;null;null;
1989-03-05;null;null;null;null;null;null;null;null;
1989-03-06;null;null;null;null;null;null;null;null;
1989-03-07;null;null;null;null;null;null;null;null;
1989-03-08;null;null;null;null;null;null;null;null;
1989-03-09;null;null;null;null;null;null;null;null;
1989-03-10;null;null;null;null;null;null;null;null;
1989-03-11;null;null;null;null;null;null;null;null;
1989-03-12;null;null;null;null;null;null;null;null;
1989-03-13;null;null;null;null;null;null;null;null;
1989-03-14;null;null;null;null;null;null;null;null;
1989-03-15;null;null;null;null;null;null;null;null;
1989-03-16;null;null;null;null;null;null;null;null;
1989-03-17;null;null;null;null;null;null;null;null;
1989-03-18;null;null;null;null;null;null;null;null;
1989-03-19;null;null;null;null;null;null;null;null;
1989-03-20;null;null;null;null;null;null;null;null;
1989-03-21;null;null;null;null;null;null;null;null;
1989-03-22;null;null;null;null;null;null;null;null;
1989-03-23;null;null;null;null;null;null;null;null;
1989-03-24;null;null;null;null;null;null;null;null;
1989-03-25;null;null;null;null;null;null;null;null;
1989-03-26;null;null;null;null;null;null;null;null;
1989-03-27;null;null;null;null;null;null;null;null;
1989-03-28;null;null;null;null;null;null;null;null;
1989-03-29;null;null;null;null;null;null;null;null;
1989-03-30;null;null;null;null;null;null;null;null;
1989-03-31;null;null;null;null;null;null;null;null;
1989-04-01;null;null;null;null;null;null;null;null;
1989-04-02;null;null;null;null;null;null;null;null;
1989-04-03;null;null;null;null;null;null;null;null;
1989-04-04;null;null;null;null;null;null;null;null;
1989-04-05;null;null;null;null;null;null;null;null;
1989-04-06;null;null;null;null;null;null;null;null;
1989-04-07;null;null;null;null;null;null;null;null;
1989-04-08;null;null;null;null;null;null;null;null;
1989-04-09;null;null;null;null;null;null;null;null;
1989-04-10;null;null;null;null;null;null;null;null;
1989-04-11;null;null;null;null;null;null;null;null;
1989-04-12;null;null;null;null;null;null;null;null;
1989-04-13;null;null;null;null;null;null;null;null;
1989-04-14;null;null;null;null;null;null;null;null;
1989-04-15;null;null;null;null;null;null;null;null;
1989-04-16;null;null;null;null;null;null;null;null;
1989-04-17;null;null;null;null;null;null;null;null;
1989-04-18;null;null;null;null;null;null;null;null;
1989-04-19;null;null;null;null;null;null;null;null;
1989-04-20;null;null;null;null;null;null;null;null;
1989-04-21;null;null;null;null;null;null;null;null;
1989-04-22;null;null;null;null;null;null;null;null;
1989-04-23;null;null;null;null;null;null;null;null;
1989-04-24;null;null;null;null;null;null;null;null;
1989-04-25;null;null;null;null;null;null;null;null;
1989-04-26;null;null;null;null;null;null;null;null;
1989-04-27;null;null;null;null;null;null;null;null;
1989-04-28;null;null;null;null;null;null;null;null;
1989-04-29;null;null;null;null;null;null;null;null;
1989-04-30;null;null;null;null;null;null;null;null;
1989-05-01;null;null;null;null;null;null;null;null;
1989-05-02;null;null;null;null;null;null;null;null;
1989-05-03;null;null;null;null;null;null;null;null;
1989-05-04;null;null;null;null;null;null;null;null;
1989-05-05;null;null;null;null;null;null;null;null;
1989-05-06;null;null;null;null;null;null;null;null;
1989-05-07;null;null;null;null;null;null;null;null;
1989-05-08;null;null;null;null;null;null;null;null;
1989-05-09;null;null;null;null;null;null;null;null;
1989-05-10;null;null;null;null;null;null;null;null;
1989-05-11;null;null;null;null;null;null;null;null;
1989-05-12;null;null;null;null;null;null;null;null;
1989-05-13;null;null;null;null;null;null;null;null;
1989-05-14;null;null;null;null;null;null;null;null;
1989-05-15;null;null;null;null;null;null;null;null;
1989-05-16;null;null;null;null;null;null;null;null;
1989-05-17;null;null;null;null;null;null;null;null;
1989-05-18;null;null;null;null;null;null;null;null;
1989-05-19;null;null;null;null;null;null;null;null;
1989-05-20;null;null;null;null;null;null;null;null;
1989-05-21;null;null;null;null;null;null;null;null;
1989-05-22;null;null;null;null;null;null;null;null;
1989-05-23;null;null;null;null;null;null;null;null;
1989-05-24;null;null;null;null;null;null;null;null;
1989-05-25;null;null;null;null;null;null;null;null;
1989-05-26;null;null;null;null;null;null;null;null;
1989-05-27;null;null;null;null;null;null;null;null;
1989-05-28;null;null;null;null;null;null;null;null;
1989-05-29;null;null;null;null;null;null;null;null;
1989-05-30;null;null;null;null;null;null;null;null;
1989-05-31;null;null;null;null;null;null;null;null;
1989-06-01;null;null;null;null;null;null;null;null;
1989-06-02;null;null;null;null;null;null;null;null;
1989-06-03;null;null;null;null;null;null;null;null;
1989-06-04;null;null;null;null;null;null;null;null;
1989-06-05;null;null;null;null;null;null;null;null;
1989-06-06;null;null;null;null;null;null;null;null;
1989-06-07;null;null;null;null;null;null;null;null;
1989-06-08;null;null;null;null;null;null;null;null;
1989-06-09;null;null;null;null;null;null;null;null;
1989-06-10;null;null;null;null;null;null;null;null;
1989-06-11;null;null;null;null;null;null;null;null;
1989-06-12;null;null;null;null;null;null;null;null;
1989-06-13;null;null;null;null;null;null;null;null;
1989-06-14;null;null;null;null;null;null;null;null;
1989-06-15;null;null;null;null;null;null;null;null;
1989-06-16;null;null;null;null;null;null;null;null;
1989-06-17;null;null;null;null;null;null;null;null;
1989-06-18;null;null;null;null;null;null;null;null;
1989-06-19;null;null;null;null;null;null;null;null;
1989-06-20;null;null;null;null;null;null;null;null;
1989-06-21;null;null;null;null;null;null;null;null;
1989-06-22;null;null;null;null;null;null;null;null;
1989-06-23;null;null;null;null;null;null;null;null;
1989-06-24;null;null;null;null;null;null;null;null;
1989-06-25;null;null;null;null;null;null;null;null;
1989-06-26;null;null;null;null;null;null;null;null;
1989-06-27;null;null;null;null;null;null;null;null;
1989-06-28;null;null;null;null;null;null;null;null;
1989-06-29;null;null;null;null;null;null;null;null;
1989-06-30;null;null;null;null;null;null;null;null;
1989-07-01;null;null;null;null;null;null;null;null;
1989-07-02;null;null;null;null;null;null;null;null;
1989-07-03;null;null;null;null;null;null;null;null;
1989-07-04;null;null;null;null;null;null;null;null;
1989-07-05;null;null;null;null;null;null;null;null;
1989-07-06;null;null;null;null;null;null;null;null;
1989-07-07;null;null;null;null;null;null;null;null;
1989-07-08;null;null;null;null;null;null;null;null;
1989-07-09;null;null;null;null;null;null;null;null;
1989-07-10;null;null;null;null;null;null;null;null;
1989-07-11;null;null;null;null;null;null;null;null;
1989-07-12;null;null;null;null;null;null;null;null;
1989-07-13;null;null;null;null;null;null;null;null;
1989-07-14;null;null;null;null;null;null;null;null;
1989-07-15;null;null;null;null;null;null;null;null;
1989-07-16;null;null;null;null;null;null;null;null;
1989-07-17;null;null;null;null;null;null;null;null;
1989-07-18;null;null;null;null;null;null;null;null;
1989-07-19;null;null;null;null;null;null;null;null;
1989-07-20;null;null;null;null;null;null;null;null;
1989-07-21;null;null;null;null;null;null;null;null;
1989-07-22;null;null;null;null;null;null;null;null;
1989-07-23;null;null;null;null;null;null;null;null;
1989-07-24;null;null;null;null;null;null;null;null;
1989-07-25;null;null;null;null;null;null;null;null;
1989-07-26;null;null;null;null;null;null;null;null;
1989-07-27;null;null;null;null;null;null;null;null;
1989-07-28;null;null;null;null;null;null;null;null;
1989-07-29;null;null;null;null;null;null;null;null;
1989-07-30;null;null;null;null;null;null;null;null;
1989-07-31;null;null;null;null;null;null;null;null;
1989-08-01;null;null;null;null;null;null;null;null;
1989-08-02;null;null;null;null;null;null;null;null;
1989-08-03;null;null;null;null;null;null;null;null;
1989-08-04;null;null;null;null;null;null;null;null;
1989-08-05;null;null;null;null;null;null;null;null;
1989-08-06;null;null;null;null;null;null;null;null;
1989-08-07;null;null;null;null;null;null;null;null;
1989-08-08;null;null;null;null;null;null;null;null;
1989-08-09;null;null;null;null;null;null;null;null;
1989-08-10;null;null;null;null;null;null;null;null;
1989-08-11;null;null;null;null;null;null;null;null;
1989-08-12;null;null;null;null;null;null;null;null;
1989-08-13;null;null;null;null;null;null;null;null;
1989-08-14;null;null;null;null;null;null;null;null;
1989-08-15;null;null;null;null;null;null;null;null;
1989-08-16;null;null;null;null;null;null;null;null;
1989-08-17;null;null;null;null;null;null;null;null;
1989-08-18;null;null;null;null;null;null;null;null;
1989-08-19;null;null;null;null;null;null;null;null;
1989-08-20;null;null;null;null;null;null;null;null;
1989-08-21;null;null;null;null;null;null;null;null;
1989-08-22;null;null;null;null;null;null;null;null;
1989-08-23;null;null;null;null;null;null;null;null;
1989-08-24;null;null;null;null;null;null;null;null;
1989-08-25;null;null;null;null;null;null;null;null;
1989-08-26;null;null;null;null;null;null;null;null;
1989-08-27;null;null;null;null;null;null;null;null;
1989-08-28;null;null;null;null;null;null;null;null;
1989-08-29;null;null;null;null;null;null;null;null;
1989-08-30;null;null;null;null;null;null;null;null;
1989-08-31;null;null;null;null;null;null;null;null;
1989-09-01;null;null;null;null;null;null;null;null;
1989-09-02;null;null;null;null;null;null;null;null;
1989-09-03;null;null;null;null;null;null;null;null;
1989-09-04;null;null;null;null;null;null;null;null;
1989-09-05;null;null;null;null;null;null;null;null;
1989-09-06;null;null;null;null;null;null;null;null;
1989-09-07;null;null;null;null;null;null;null;null;
1989-09-08;null;null;null;null;null;null;null;null;
1989-09-09;null;null;null;null;null;null;null;null;
1989-09-10;null;null;null;null;null;null;null;null;
1989-09-11;null;null;null;null;null;null;null;null;
1989-09-12;null;null;null;null;null;null;null;null;
1989-09-13;null;null;null;null;null;null;null;null;
1989-09-14;null;null;null;null;null;null;null;null;
1989-09-15;null;null;null;null;null;null;null;null;
1989-09-16;null;null;null;null;null;null;null;null;
1989-09-17;null;null;null;null;null;null;null;null;
1989-09-18;null;null;null;null;null;null;null;null;
1989-09-19;null;null;null;null;null;null;null;null;
1989-09-20;null;null;null;null;null;null;null;null;
1989-09-21;null;null;null;null;null;null;null;null;
1989-09-22;null;null;null;null;null;null;null;null;
1989-09-23;null;null;null;null;null;null;null;null;
1989-09-24;null;null;null;null;null;null;null;null;
1989-09-25;null;null;null;null;null;null;null;null;
1989-09-26;null;null;null;null;null;null;null;null;
1989-09-27;null;null;null;null;null;null;null;null;
1989-09-28;null;null;null;null;null;null;null;null;
1989-09-29;null;null;null;null;null;null;null;null;
1989-09-30;null;null;null;null;null;null;null;null;
1989-10-01;null;null;null;null;null;null;null;null;
1989-10-02;null;null;null;null;null;null;null;null;
1989-10-03;null;null;null;null;null;null;null;null;
1989-10-04;null;null;null;null;null;null;null;null;
1989-10-05;null;null;null;null;null;null;null;null;
1989-10-06;null;null;null;null;null;null;null;null;
1989-10-07;null;null;null;null;null;null;null;null;
1989-10-08;null;null;null;null;null;null;null;null;
1989-10-09;null;null;null;null;null;null;null;null;
1989-10-10;null;null;null;null;null;null;null;null;
1989-10-11;null;null;null;null;null;null;null;null;
1989-10-12;null;null;null;null;null;null;null;null;
1989-10-13;null;null;null;null;null;null;null;null;
1989-10-14;null;null;null;null;null;null;null;null;
1989-10-15;null;null;null;null;null;null;null;null;
1989-10-16;null;null;null;null;null;null;null;null;
1989-10-17;null;null;null;null;null;null;null;null;
1989-10-18;null;null;null;null;null;null;null;null;
1989-10-19;null;null;null;null;null;null;null;null;
1989-10-20;null;null;null;null;null;null;null;null;
1989-10-21;null;null;null;null;null;null;null;null;
1989-10-22;null;null;null;null;null;null;null;null;
1989-10-23;null;null;null;null;null;null;null;null;
1989-10-24;null;null;null;null;null;null;null;null;
1989-10-25;null;null;null;null;null;null;null;null;
1989-10-26;null;null;null;null;null;null;null;null;
1989-10-27;null;null;null;null;null;null;null;null;
1989-10-28;null;null;null;null;null;null;null;null;
1989-10-29;null;null;null;null;null;null;null;null;
1989-10-30;null;null;null;null;null;null;null;null;
1989-10-31;null;null;null;null;null;null;null;null;
1989-11-01;null;null;null;null;null;null;null;null;
1989-11-02;null;null;null;null;null;null;null;null;
1989-11-03;null;null;null;null;null;null;null;null;
